file_id,tipo,forma,año,autor/a,tema,keywords,path_original,Crecimiento Balanceado,Crecimiento Endógeno,Crecimiento de Largo Plazo,Convergencia Absoluta,Convergencia Condicional,Desarrollo Económico,Modelo AK,Modelo de Ramsey,Modelo de Solow-Swan,Modelo de Uzawa-Lucas,Acelerador Flexible,Ajuste Abultado (Lumpy Adjustment),Capital Físico,Capital Humano,Costo de Usuario del Capital,Costos de Ajuste (Convexos / No Convexos),Costos Fijos de Ajuste,Inversión,Irreversibilidad Parcial,Modelo de Calvo,Modelo Neoclásico de Inversión,Modelos Ss,Stock de Capital,Teoría de la q de Tobin,Teoría del Acelerador,Ahorro por Precaución,CAPM-Consumo,Consumidores Hand-to-Mouth,Consumo,Descuento Hiperbólico (Present Bias),Equivalencia Ricardiana,Hipótesis del Ingreso Permanente (PIH),Propensión Marginal a Consumir,Puzzle del Riesgo Accionario,Restricciones de Liquidez,Suavizamiento del Consumo,Tasa de Ahorro,Teoría del Ciclo de Vida (LCT),Condición de No Flojeo (NSC),Curva de Beveridge,Desempleo Involuntario,Estrechez del Mercado Laboral,Función de Pareo (Matching),Modelo de Mortensen-Pissarides (DMP),Modelo de Shapiro-Stiglitz,Monitoreo Imperfecto,Salarios de Eficiencia,Vacantes,Bienes Intermedios (Variedad de Productos),Destrucción Creativa,Difusión Tecnológica,Economía de las Ideas,I+D (Investigación y Desarrollo),Innovación,Modelo de Romer (1990),Modelos Schumpeterianos,Patentes,Productividad Total de los Factores (PTF),Progreso Tecnológico,Spillovers de Conocimiento,Tecnología (Harrod/Hicks Neutral),Acelerador Financiero,Asimetrías de Información,Bienes Públicos Productivos,Capacidad del Estado,Colateral,Contrato de Deuda,Fricciones Financieras,Flujo de Caja,Gasto Público,Impuestos (Corporativos / Suma Alzada),Instituciones,Poder de Mercado / Monopolio,Racionamiento del Crédito,Riesgo Moral,Selección Adversa,Subsidios (Inversión / I+D),Suavizamiento de Impuestos (Tax Smoothing),Teorema de Modigliani-Miller,Verificación de Estado Costosa,Camino Aleatorio (Random Walk),Condición de Transversalidad,Condiciones de Inada,Diagramas de Fase,Ecuación de Bellman,Ecuación de Euler,Equilibrio (Competitivo / Descentralizado),Equilibrio Centralizado (Planificador Social),Estado Estacionario,Expectativas Racionales,Filtro Hodrick-Prescott (HP),Función de Impulso-Respuesta (IRF),Operador de Rezago,Procesos ARIMA,Series de Tiempo,Volatilidad
0,Practico,guia,2024,Luis Felipe Céspedes,"['Modelo de Solow-Swan', 'Progreso Tecnológico', 'Capital Físico', 'Estado Estacionario']","['Modelo de Solow-Swan', 'Función de producción Cobb-Douglas', 'Estado Estacionario', 'Progreso Tecnológico', 'Capital Físico']",./data/macroeconomia/2024/Céspedes/Pauta_guia_1.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Practico,guia,2024,Luis Felipe Céspedes,"['Modelo AK', 'Modelo de Romer (1990)', 'Modelos Schumpeterianos', 'Bienes Intermedios (Variedad de Productos)', 'Spillovers de Conocimiento', 'Innovación', 'Crecimiento Endógeno', 'Desarrollo Económico']","['Modelo AK', 'Modelo de Romer de Cambio Tecnológico', 'Spillovers', 'Crecimiento endógeno', 'Monopolio', 'Bienes intermedios', 'Innovación', 'Costo de I+D', 'Condición de libre entrada', 'Tasa de interés', 'Utilidades del monopolio', 'Valor presente', 'Función de producción', 'Competencia perfecta', 'Salario', 'Tasa de crecimiento', 'Subsidio a la investigación']",./data/macroeconomia/2024/Céspedes/Pauta_Guia4.pdf,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Practico,clase,2024,Luis Felipe Céspedes,"['Modelo de Ramsey', 'Elasticidad de sustitución intertemporal', 'Capital', 'Tasa de ahorro', 'Estado estacionario', 'Diagramas de Fase', 'Equilibrio (Competitivo / Descentralizado)', 'Impuestos (Corporativos / Suma Alzada)', 'Función de producción Cobb-Douglas']","['Ecuación de Euler', 'Modelo de Ramsey', 'Función de producción Cobb-Douglas', 'Tasa de depreciación (δ, Solow-Swan)', 'Estado estacionario', 'Diagramas de fase (Ramsey)', 'Impuesto de suma alzada', 'Variables endógenas', 'Equilibrio (Competitivo / Descentralizado)', 'Elasticidad de sustitución intertemporal (σ)']",./data/macroeconomia/2024/Céspedes/Pauta_C1.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Teoria,examen,No encontrado,No encontrado,[],[],./data/macroeconomia/2024/Céspedes/Examen_Enunciado.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Practico,guia,2024,Luis Felipe Céspedes,"['Modelo de Ramsey', 'Modelo de Solow-Swan', 'Capital Humano', 'Capital Físico', 'Inversión', 'Stock de Capital', 'Estado Estacionario', 'Condición de Transversalidad', 'Diagramas de Fase', 'Función de Producción Cobb-Douglas', 'Desarrollo Económico', 'Crecimiento de Largo Plazo']","['Modelo de Ramsey', 'Función de Producción Cobb-Douglas', 'Estado Estacionario', 'Condición de Transversalidad', 'Diagramas de Fase', 'Ahorro', 'Tasa de Ahorro', 'Capital', 'Capital físico', 'Capital Humano', 'Inversión', 'Crecimiento de Largo Plazo', 'Velocidad de convergencia', 'Log-linearización']",./data/macroeconomia/2024/Céspedes/Guia_2_Pauta.pdf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Practico,examen,2024,Luis Felipe Céspedes,"['Modelo AK', 'Modelo de Ramsey', 'Capital Físico', 'Capital Humano', 'Costo de Usuario del Capital', 'Inversión', 'Stock de Capital', 'Consumo', 'Tasa de Ahorro', 'Equilibrio (Competitivo / Descentralizado)', 'Equilibrio Centralizado (Planificador Social)', 'Estado Estacionario', 'Crecimiento de Largo Plazo']","['Modelo AK', 'Modelo neoclásico', 'Condiciones de Inada', 'Equilibrio descentralizado', 'Precio de los factores', 'Equilibrio del planificador social', 'Crecimiento sostenido', 'Tasa de crecimiento asintótica', 'Rendimientos constantes a escala', 'Productividad marginal positiva y decreciente', 'Ecuación de Euler', 'Estado estacionario']",./data/macroeconomia/2024/Céspedes/Pauta_Control_2.pdf,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Practico,guia,2024,Luis Felipe Céspedes,"['Modelo de Romer (1990)', 'Modelo de Uzawa-Lucas', 'Capital Humano', 'Capital Físico', 'Desarrollo Económico', 'Crecimiento Endógeno', 'Subsidios (Inversión / I+D)', 'Progreso Tecnológico', 'I+D (Investigación y Desarrollo)', 'Innovación', 'Stock de Capital', 'Inversión']","['Modelo de Romer (1986)', 'Modelo de Uzawa-Lucas', 'Capital físico', 'Capital humano', 'Tasa de ahorro', 'Tasa de crecimiento de la población (n)', 'Tasa de depreciación (δ, Solow-Swan)', 'Estado estacionario', 'Crecimiento endógeno', 'Shocks', 'Subsidio', 'Impuestos', 'Función de producción', 'Retornos constantes a escala', 'Retornos decrecientes a escala', 'Retornos crecientes a escala', 'Externalidad', 'Condiciones de primer orden', 'Condición de transversalidad', 'Equilibrio', 'Tasa de crecimiento']",./data/macroeconomia/2024/Céspedes/Guia_3_Pauta.pdf,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Teoria,apunte,2024,Luis Felipe Céspedes,"['Modelo de Solow-Swan', 'Condiciones de Inada', 'Convergencia Condicional', 'Convergencia Absoluta', 'Crecimiento Balanceado', 'Progreso Tecnológico', 'Modelo de Ramsey', 'Modelo AK', 'Modelo de Uzawa-Lucas', 'Capital Físico', 'Capital Humano', 'Ecuación de Euler', 'Estado Estacionario', 'Desarrollo Económico', 'Crecimiento Endógeno']","['Modelo de Solow-Swan', 'Condiciones de Inada', 'Convergencia condicional', 'Convergencia absoluta', 'Crecimiento balanceado', 'Progreso tecnológico', 'Modelo de Ramsey', 'Modelo AK', 'Modelo de Uzawa-Lucas', 'Capital físico', 'Capital humano', 'Ecuación de Euler', 'Estado estacionario', 'Crecimiento endógeno']",./data/macroeconomia/2024/Céspedes/Apuntes/APUNTE_MACRO_1_CESPEDES.pdf,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Teoria,desconocido,No encontrado,No encontrado,[],[],./data/macroeconomia/2024/Céspedes/Bibliografía/acemoglu 2007.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Teoria,desconocido,No encontrado,No encontrado,[],[],"./data/macroeconomia/2024/Céspedes/Bibliografía/Robert J. Barro, Xavier Sala-i-Martin - Economic growth-The MIT Press (2003) (1).pdf",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
